('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         789477 function calls (764990 primitive calls) in 1.951 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      195    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
      195    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      195    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
      195    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      195    0.000    0.000    0.030    0.000 _compiler.py:573(_code)
      194    0.000    0.000    0.000    0.000 enum.py:444(<genexpr>)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      188    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
      185    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
      185    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      184    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
      184    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
      182    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      182    0.000    0.000    0.000    0.000 <frozen os>:697(__iter__)
      182    0.000    0.000    0.000    0.000 <frozen _collections_abc>:859(__iter__)
      176    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      169    0.000    0.000    0.000    0.000 enum.py:918(<lambda>)
      168    0.000    0.000    0.000    0.000 enum.py:747(__delattr__)
      167    0.000    0.000    0.000    0.000 enum.py:193(__get__)
      158    0.000    0.000    0.000    0.000 enum.py:1257(value)
      155    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
  153/100    0.000    0.000    0.066    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      153    0.000    0.000    0.001    0.000 enum.py:367(__setitem__)
      153    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      151    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      149    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
  140/104    0.000    0.000    0.004    0.000 typing.py:500(__getitem__)
      135    0.000    0.000    0.000    0.000 dataclasses.py:664(_is_type)
      134    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      130    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      130    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.002    0.000 typing.py:1595(copy_with)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      123    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
      123    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      121    0.002    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      112    0.000    0.000    0.000    0.000 dataclasses.py:820(_set_qualname)
      109    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
      109    0.000    0.000    0.000    0.000 typing.py:306(_deduplicate)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:827(_set_new_attribute)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      105    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      104    0.000    0.000    0.004    0.000 typing.py:679(Union)
      104    0.000    0.000    0.000    0.000 enum.py:798(<genexpr>)
      104    0.000    0.000    0.000    0.000 typing.py:334(_remove_dups_flatten)
      103    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      103    0.001    0.000    0.001    0.000 enum.py:242(__set_name__)
      103    0.000    0.000    0.000    0.000 enum.py:239(__init__)
       99    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
       98    0.000    0.000    0.000    0.000 dataclasses.py:654(_is_initvar)
       98    0.000    0.000    0.000    0.000 dataclasses.py:646(_is_classvar)
       98    0.000    0.000    0.000    0.000 dataclasses.py:660(_is_kw_only)
       97    0.000    0.000    0.000    0.000 typing_extensions.py:3351(_check_generic)
       96    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       96    0.000    0.000    0.002    0.000 typing.py:1586(__getitem__)
       95    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       91    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       91    0.000    0.000    0.000    0.000 enum.py:1514(__or__)
       90    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       90    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       89    0.000    0.000    0.004    0.000 dataclasses.py:413(_create_fn)
       88    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       88    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       88    0.000    0.000    0.001    0.000 _util.py:84(validate)
       87    0.000    0.000    0.000    0.000 typing.py:1679(<genexpr>)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       86    0.000    0.000    0.000    0.000 __init__.py:253(escape)
       81    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
       81    0.000    0.000    0.000    0.000 _policybase.py:209(header_max_count)
       81    0.000    0.000    0.000    0.000 _policybase.py:313(header_store_parse)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
