('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724931 function calls (705695 primitive calls) in 7.315 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      239    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      236    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      832    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     3812    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1503    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
     2920    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
    236/4    0.000    0.000    0.169    0.042 <frozen importlib._bootstrap>:911(_load_unlocked)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
     3341    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      305    0.000    0.000    1.718    0.006 ssl.py:1095(read)
        1    0.000    0.000    0.001    0.001 connection.py:270(close)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     2459    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     2251    0.000    0.000    0.001    0.000 css_parser.py:305(match)
      202    0.000    0.000    0.046    0.000 _parser.py:969(parse)
       27    0.000    0.000    0.401    0.015 __init__.py:1(<module>)
     2689    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       77    0.000    0.000    0.003    0.000 css_parser.py:459(parse_attribute_selector)
    18/17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     6175    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
     2800    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     1032    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      412    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1830    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      206    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    536/8    0.000    0.000    0.169    0.021 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     3029    0.000    0.000    0.000    0.000 element.py:2062(descendants)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
      206    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      924    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2801    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     2795    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      305    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1009    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     2624    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      159    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
       25    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      397    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
    206/4    0.000    0.000    0.169    0.042 <frozen importlib._bootstrap_external>:989(exec_module)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        5    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
       66    0.000    0.000    1.353    0.021 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      657    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
      236    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      514    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      202    0.000    0.000    0.028    0.000 _compiler.py:573(_code)
      311    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.136    0.136 __init__.py:122(__init__)
       39    0.000    0.000    0.379    0.010 response.py:1032(read_chunked)
     2567    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      415    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
       36    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
     1048    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       14    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        2    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
     2232    0.000    0.000    0.000    0.000 py.py:11(<genexpr>)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
      440    0.000    0.000    0.001    0.000 <frozen os>:703(__iter__)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 langrussianmodel.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      258    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
  223/188    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      305    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      202    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
     1571    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      312    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
      514    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      215    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      443    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      747    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 johabfreq.py:1(<module>)
      130    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      571    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
     1054    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     1002    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  579/522    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1054    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        2    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
        7    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:1(<module>)
      573    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1002    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1571    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       97    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:1(<module>)
      824    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       24    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      260    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
       63    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      965    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      307    0.000    0.000    0.000    0.000 socket.py:732(readable)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       49    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       96    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       16    0.000    0.000    0.000    0.000 message.py:494(get)
      2/1    0.000    0.000    2.001    2.001 sessions.py:673(send)
      321    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        2    0.000    0.000    1.357    0.679 connection.py:435(getresponse)
      440    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
      338    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      777    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       39    0.000    0.000    0.368    0.009 response.py:1010(_handle_chunk)
      183    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
