('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724721 function calls (705537 primitive calls) in 1.943 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  223/188    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
     1571    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      514    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      312    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 johabfreq.py:1(<module>)
      130    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
  579/522    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       24    0.000    0.000    0.002    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:1(<module>)
      747    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       63    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        7    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      573    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      260    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1002    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
     1571    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      315    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      571    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
     1054    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
     1002    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      824    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:1(<module>)
       39    0.000    0.000    0.289    0.007 response.py:1010(_handle_chunk)
        1    0.000    0.000    0.137    0.137 __init__.py:122(__init__)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
      303    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     1639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       49    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
       97    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
     1054    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      965    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      321    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      317    0.000    0.000    0.000    0.000 socket.py:732(readable)
      777    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      183    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       66    0.000    0.000    1.056    0.016 {method 'readline' of '_io.BufferedReader' objects}
      338    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      239    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
       84    0.000    0.000    0.000    0.000 css_parser.py:792(parse_combinator)
      805    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      478    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      628    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       40    0.000    0.000    0.000    0.000 response.py:996(_update_chunk_length)
